@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
51,0,1753,338,0.838355,1,0.028271,1,0.971729,0.054987,0.842204,1.187361,0
51,0,1752,339,0.837877,1,0.028286,1,0.971714,0.055016,0.841737,1.18802,0
51,0,1751,340,0.837398,1,0.028302,1,0.971698,0.055046,0.84127,1.188679,0
51,0,1750,341,0.83692,1,0.028318,1,0.971682,0.055076,0.840803,1.189339,0
51,0,1749,342,0.836442,1,0.028333,1,0.971667,0.055105,0.840336,1.19,0
51,0,1748,343,0.835964,1,0.028349,1,0.971651,0.055135,0.839869,1.190661,0
51,0,1747,344,0.835485,1,0.028365,1,0.971635,0.055165,0.839402,1.191324,0
51,0,1746,345,0.835007,1,0.028381,1,0.971619,0.055195,0.838936,1.191987,0
51,0,1745,346,0.834529,1,0.028396,1,0.971604,0.055225,0.838469,1.19265,0
51,0,1744,347,0.834051,1,0.028412,1,0.971588,0.055255,0.838002,1.193315,0
51,0,1743,348,0.833572,1,0.028428,1,0.971572,0.055285,0.837535,1.19398,0
51,0,1742,349,0.833094,1,0.028444,1,0.971556,0.055315,0.837068,1.194646,0
51,0,1741,350,0.832616,1,0.02846,1,0.97154,0.055345,0.836601,1.195312,0
51,0,1740,351,0.832138,1,0.028476,1,0.971524,0.055375,0.836134,1.19598,0
51,0,1739,352,0.831659,1,0.028492,1,0.971508,0.055405,0.835668,1.196648,0
51,0,1738,353,0.831181,1,0.028508,1,0.971492,0.055435,0.835201,1.197317,0
51,0,1737,354,0.830703,1,0.028523,1,0.971477,0.055465,0.834734,1.197987,0
51,0,1736,355,0.830225,1,0.028539,1,0.971461,0.055495,0.834267,1.198657,0
51,0,1735,356,0.829747,1,0.028555,1,0.971445,0.055525,0.8338,1.199328,0
51,0,1734,357,0.829268,1,0.028571,1,0.971429,0.055556,0.833333,1.2,0
51,0,1733,358,0.82879,1,0.028587,1,0.971413,0.055586,0.832866,1.200673,0
51,0,1732,359,0.828312,1,0.028603,1,0.971397,0.055616,0.8324,1.201346,0
51,0,1731,360,0.827834,1,0.02862,1,0.97138,0.055646,0.831933,1.20202,0
51,0,1730,361,0.827355,1,0.028636,1,0.971364,0.055677,0.831466,1.202695,0
51,0,1729,362,0.826877,1,0.028652,1,0.971348,0.055707,0.830999,1.203371,0
51,0,1728,363,0.826399,1,0.028668,1,0.971332,0.055738,0.830532,1.204047,0
51,0,1727,364,0.825921,1,0.028684,1,0.971316,0.055768,0.830065,1.204724,0
51,0,1726,365,0.825442,1,0.0287,1,0.9713,0.055799,0.829599,1.205402,0
51,0,1725,366,0.824964,1,0.028716,1,0.971284,0.055829,0.829132,1.206081,0
51,0,1724,367,0.824486,1,0.028732,1,0.971268,0.05586,0.828665,1.206761,0
51,0,1723,368,0.824008,1,0.028749,1,0.971251,0.05589,0.828198,1.207441,0
51,0,1722,369,0.823529,1,0.028765,1,0.971235,0.055921,0.827731,1.208122,0
51,0,1721,370,0.823051,1,0.028781,1,0.971219,0.055952,0.827264,1.208804,0
51,0,1720,371,0.822573,1,0.028797,1,0.971203,0.055982,0.826797,1.209486,0
51,0,1719,372,0.822095,1,0.028814,1,0.971186,0.056013,0.826331,1.210169,0
